CharacterSets
CHARACTER_SET_CATALOG | CHARACTER_SET_SCHEMA | CHARACTER_SET_NAME | CHARACTER_SET_ID | DEFAULT_COLLATION | BYTES_PER_CHARACTER | DESCRIPTION
             NULL |             NULL |       'ISO8859_7' |        'ISO8859_7' |        NULL
             NULL |             NULL |       'ISO8859_8' |        'ISO8859_8' |        NULL
             NULL |             NULL |       'ISO8859_9' |        'ISO8859_9' |        NULL
             NULL |             NULL |           'KOI8R' |            'KOI8R' |        NULL
             NULL |             NULL |        'KOI8R_RU' |            'KOI8R' |        NULL
             NULL |             NULL |           'KOI8U' |            'KOI8U' |        NULL
             NULL |             NULL |        'KOI8U_UA' |            'KOI8U' |        NULL
             NULL |             NULL |        'KSC_5601' |         'KSC_5601' |        NULL
             NULL |             NULL |  'KSC_DICTIONARY' |         'KSC_5601' |        NULL
             NULL |             NULL |            'NEXT' |             'NEXT' |        NULL
             NULL |             NULL |         'NXT_DEU' |             'NEXT' |        NULL
             NULL |             NULL |         'NXT_ESP' |             'NEXT' |        NULL
             NULL |             NULL |         'NXT_FRA' |             'NEXT' |        NULL
             NULL |             NULL |         'NXT_ITA' |             'NEXT' |        NULL
             NULL |             NULL |          'NXT_US' |             'NEXT' |        NULL
             NULL |             NULL |            'NONE' |             'NONE' |        NULL
             NULL |             NULL |          'OCTETS' |           'OCTETS' |        NULL
             NULL |             NULL |       'SJIS_0208' |        'SJIS_0208' |        NULL
             NULL |             NULL |          'TIS620' |           'TIS620' |        NULL
             NULL |             NULL |  'TIS620_UNICODE' |           'TIS620' |        NULL
             NULL |             NULL |     'UNICODE_FSS' |      'UNICODE_FSS' |        NULL
             NULL |             NULL |       'UCS_BASIC' |             'UTF8' |        NULL
             NULL |             NULL |         'UNICODE' |             'UTF8' |        NULL
             NULL |             NULL |      'UNICODE_CI' |             'UTF8' |        NULL
             NULL |             NULL |   'UNICODE_CI_AI' |             'UTF8' |        NULL
             NULL |             NULL |            'UTF8' |             'UTF8' |        NULL
             NULL |             NULL |           'BS_BA' |          'WIN1250' |        NULL
             NULL |             NULL |         'PXW_CSY' |          'WIN1250' |        NULL
             NULL |             NULL |         'PXW_HUN' |          'WIN1250' |        NULL
             NULL |             NULL |       'PXW_HUNDC' |          'WIN1250' |        NULL
             NULL |             NULL |         'PXW_PLK' |          'WIN1250' |        NULL
             NULL |             NULL |        'PXW_SLOV' |          'WIN1250' |        NULL
             NULL |             NULL |         'WIN1250' |          'WIN1250' |        NULL
             NULL |             NULL |          'WIN_CZ' |          'WIN1250' |        NULL
             NULL |             NULL |    'WIN_CZ_CI_AI' |          'WIN1250' |        NULL
             NULL |             NULL |        'PXW_CYRL' |          'WIN1251' |        NULL
             NULL |             NULL |         'WIN1251' |          'WIN1251' |        NULL
             NULL |             NULL |      'WIN1251_UA' |          'WIN1251' |        NULL
             NULL |             NULL |        'PXW_INTL' |          'WIN1252' |        NULL
             NULL |             NULL |     'PXW_INTL850' |          'WIN1252' |        NULL
             NULL |             NULL |     'PXW_NORDAN4' |          'WIN1252' |        NULL
             NULL |             NULL |        'PXW_SPAN' |          'WIN1252' |        NULL
             NULL |             NULL |     'PXW_SWEDFIN' |          'WIN1252' |        NULL
